nombre,sameAs,direccion,distrito,distri_url,latitud,longitud,telefono,infoUrl
Iglesia Cristiana Adventista del Septimo Dia. Madrid Resurreccion,,calle austria 2,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,40.424.737.348.819.900,-360.803.688.991.874,630 107 994,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=23e70bf21677f010VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Vallecas,,calle doctor bellido 13,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,4.038.473.396.152.090,-36.673.969.388.303.200,630 994 327,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=26f70bf21677f010VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Adventista del Septimo Dia. Madrid Ventas,,calle hermanos gomez 32,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,40.430.239.463.904.700,-36.498.796.531.677.000,676 150 645,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0a08d5bfd677f010VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Evangelica de Aluche,,calle nuestra señora de la luz 118,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),4.038.654.208.091.550,-3.751.536.019.050.470,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bf9b92355c51c010VgnVCM2000000c205a0aRCRD
Iglesia Cristiana Evangelica de Chamartin,,calle victor de la serna 58,CHAMARTIN,http://dbpedia.org/page/Chamartin_(Madrid),4.045.776.241.085.650,-3.671.869.586.880.970,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=474204a5d0260410VgnVCM2000000c205a0aRCRD
Iglesia Cristiana Evangelica en Hortaleza (Eben Ezer),,calle santa virgilia 5,Hortaleza,http://dbpedia.org/resource/Hortaleza,4.047.803.083.728.160,-36.436.863.685.291.500,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=924b7b05a8350410VgnVCM2000000c205a0aRCRD
Iglesia Cristiana Hosanna,,calle alfaro 34,Carabanchel,http://dbpedia.org/resource/Carabanchel,4.039.008.603.694.380,-3.737.012.505.590.280,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=149a5bddd0950410VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Reformada,,calle cesar gonzalez ruano 25,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,40.439.878.546.069.800,-36.531.796.217.016.900,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a5cc5bddd0950410VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Shalom Adonai,,plaza mondariz 10,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,40.478.096.305.847.500,-37.050.349.888.320.500,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=98296bbcdbc50410VgnVCM1000000b205a0aRCRD
Iglesia Cristiana Verbo,,calle circe 32,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,4.042.486.074.067.440,-3.608.556.691.010.070,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=003ff181df160410VgnVCM2000000c205a0aRCRD
"Iglesia Cuerpo de Cristo, Don Pedro",,calle don pedro 10,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),4.041.164.356.061.590,-37.127.680.071.804.700,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a8319bd56dc50410VgnVCM2000000c205a0aRCRD
"Iglesia Cuerpo de Cristo, General Ricardos",,calle general ricardos 188,Carabanchel,http://dbpedia.org/resource/Carabanchel,4.038.632.169.648.760,-37.353.691.693.981.700,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=335d9bd56dc50410VgnVCM2000000c205a0aRCRD
Iglesia de Cristo IEE,,calle bravo murillo 85,Chamberí,http://dbpedia.org/resource/Chamberí,404.449.301.823.601,-37.042.284.365.191.200,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=03479bd56dc50410VgnVCM2000000c205a0aRCRD
Iglesia de Cristo - Madrid,,calle teruel 25,Tetuán (Madrid),http://dbpedia.org/resource/Tetuán_(Madrid),4.045.142.687.862.350,-37.010.649.675.352.000,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4fb3b607bec50410VgnVCM2000000c205a0aRCRD
Iglesia de Dios (Verbo de Dios),,calle puerto de pozazal 25,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,4.037.954.477.665.530,-36.304.610.133.031.000,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=646b0ac0dfc50410VgnVCM2000000c205a0aRCRD
Iglesia de Filadelfia Orcasur,,calle albu&ntilde;uelas 4,Usera,http://dbpedia.org/resource/Usera,403.660.794.472.724,-37.003.447.903.871.800,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6b760ac0dfc50410VgnVCM2000000c205a0aRCRD
Iglesia de Jesus,,calle calatrava 25,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),4.040.922.435.030.050,-37.120.824.876.404.400,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=04750a47f441f010VgnVCM2000000c205a0aRCRD
Iglesia de la Cienciología,http://es.dbpedia.org/page/Iglesia_de_la_Cienciología,calle santa catalina 7,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),4.041.544.685.773.230,-36.977.564.880.686.600,912 092 170,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0606ac2e6481c010VgnVCM1000000b205a0aRCRD
Iglesia de Los Elegidos de Dios,,calle faro 8,Carabanchel,http://dbpedia.org/resource/Carabanchel,4.038.119.767.358.170,-37.264.778.892.367.400,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fdea3ddd32d50410VgnVCM2000000c205a0aRCRD
Iglesia de los Hermanos en La Vaguada,,calle puerto de maspalomas 22,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,404.791.594.681.295,-37.138.237.216.851.700,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3c33c91fc0d50410VgnVCM2000000c205a0aRCRD
Iglesia Dios es Amor - Union Cristiana,,calle prudencio alvaro 46,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,4.043.829.788.787.740,-3.644.274.105.325.610,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dd257b05a8350410VgnVCM2000000c205a0aRCRD
"Iglesia Ejercito de Salvacion, Hermosilla",,calle hermosilla 126,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),4.042.545.230.198.000,-36.678.581.814.924.500,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8d9f6f065851c010VgnVCM2000000c205a0aRCRD
Iglesia El Buen Pastor de Madrid,,camino valderribas 96,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.398.863.439.810.400,-3.660.560.405.682.930,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7d373ddd32d50410VgnVCM2000000c205a0aRCRD
Iglesia Emanuel (U.C.E) Orcasitas (Orcasur),,avenida orcasur 1,Usera,http://dbpedia.org/resource/Usera,4.037.038.446.580.720,-370.056.603.706.231,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b96691af6d50410VgnVCM2000000c205a0aRCRD
Iglesia Española Reformada Episcopal,,calle beneficencia 18,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),4.042.635.120.982.080,-3.698.682.579.292.040,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=37d53bf7d7d50410VgnVCM2000000c205a0aRCRD
