PK,NOMBRE,sameAs,direccion,DISTRITO,distrito_url,LATITUD,LONGITUD,TELEFONO,CONTENT-URL
3565,Parroquia San Juan Bosco,,calle doctor larra y cerezo 9,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),40.410134369605316,-3.735097948426098,914 634 189,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2f73ef4d7f71c010VgnVCM1000000b205a0aRCRD
3393,Parroquia San Juan Crisostomo,,calle domenico scarlatti 2,Chamberí,http://dbpedia.org/resource/Chamberi,40.441838983283944,-3.7161407988931483,915 495 328,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=772a0713fb71c010VgnVCM1000000b205a0aRCRD
3563,Parroquia San Juan de avila,,calle fornillos 5,Usera,http://dbpedia.org/resource/Usera,40.382717533912206,-3.7138885312540326,914 693 307,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b193ef4d7f71c010VgnVCM1000000b205a0aRCRD
3566,Parroquia San Juan de Dios,,calle monte de montjuich 19,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,40.3807925678668,-3.614556896185747,913 013 421,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=44a3ef4d7f71c010VgnVCM1000000b205a0aRCRD
3401,Parroquia San Juan de la Cruz,,plaza san juan de la cruz 2,Chamberí,http://dbpedia.org/resource/Chamberi,40.44099515864825,-3.693480968127322,915 339 417,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0a3a0713fb71c010VgnVCM1000000b205a0aRCRD
3384,Parroquia San Lorenzo,,calle doctor piga 2,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.40875465706089,-3.6989955651926554,915 273 461,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9c4a0713fb71c010VgnVCM1000000b205a0aRCRD
3578,Parroquia San Lucas,,plaza paloma de la paz 1,Villaverde (Madrid),http://dbpedia.org/resource/Villaverde_(Madrid),40.34287594435619,-3.6876595507400585,917 972 609,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3624ef4d7f71c010VgnVCM1000000b205a0aRCRD
3381,Parroquia San Luis de los Franceses,,calle lagasca 89,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.43210112425737,-3.684771362675984,914 355 160,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2f5a0713fb71c010VgnVCM1000000b205a0aRCRD
3580,Parroquia San Luis Gonzaga,,calle martires de la ventilla 103,Tetuán (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),40.471648788293514,-3.6941383152556804,913 152 073,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c834ef4d7f71c010VgnVCM1000000b205a0aRCRD
3375,Parroquia San Manuel y San Benito,,calle alcala 83,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.42074217866137,-3.6860471147515685,914 357 682,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b17a0713fb71c010VgnVCM1000000b205a0aRCRD
